,title,studio,domestic_gross,foreign_gross,year
1362,Ain't Them Bodies Saints,IFC,397000.0,635000.0,2013
1370,The Monk,ATO,13500.0,794000.0,2013
1374,Salinger,Wein.,584000.0,67000.0,2013
1381,You Ain't Seen Nothin' Yet,KL,18900.0,488000.0,2013
1385,Shadow Dancer,Magn.,101000.0,319000.0,2013
1390,Tai Chi Hero,WGUSA,35100.0,347000.0,2013
1395,A Bottle in the Gaza Sea,FM,5900.0,306000.0,2013
1400,The Silence,MBox,100000.0,132000.0,2013
1477,Transformers: Age of Extinction,Par.,245400000.0,858600000.0,2014
1478,The Hobbit: The Battle of the Five Armies,WB (NL),255100000.0,700900000.0,2014
1479,Guardians of the Galaxy,BV,333200000.0,440200000.0,2014
1480,Maleficent,BV,241400000.0,517100000.0,2014
1481,The Hunger Games: Mockingjay - Part 1,LGF,337100000.0,418200000.0,2014
1482,X-Men: Days of Future Past,Fox,233900000.0,513900000.0,2014
1483,Captain America: The Winter Soldier,BV,259800000.0,454500000.0,2014
1484,Dawn of the Planet of the Apes,Fox,208500000.0,502100000.0,2014
1485,The Amazing Spider-Man 2,Sony,202900000.0,506100000.0,2014
1486,Interstellar,Par.,188000000.0,489400000.0,2014
1487,Big Hero 6,BV,222500000.0,435300000.0,2014
1488,How to Train Your Dragon 2,Fox,177000000.0,444500000.0,2014
1489,American Sniper,WB,350100000.0,197300000.0,2014
1490,Godzilla (2014),WB,200700000.0,328400000.0,2014
1491,Rio 2,Fox,131500000.0,368600000.0,2014
1492,Teenage Mutant Ninja Turtles (2014),Par.,191200000.0,302100000.0,2014
1493,The LEGO Movie,WB,257800000.0,211400000.0,2014
1494,Lucy,Uni.,126700000.0,336700000.0,2014
1495,Penguins of Madagascar,Fox,83400000.0,289700000.0,2014
1496,Edge of Tomorrow,WB,100200000.0,270300000.0,2014
1497,Gone Girl,Fox,167800000.0,201600000.0,2014
1498,Night at the Museum: Secret of the Tomb,Fox,113700000.0,249500000.0,2014
1499,Noah,Par.,101200000.0,261399999.0,2014
1500,The Maze Runner,Fox,102400000.0,245900000.0,2014
1501,300: Rise of An Empire,WB,106600000.0,231000000.0,2014
1502,22 Jump Street,Sony,191700000.0,139600000.0,2014
1503,The Fault in our Stars,Fox,124900000.0,182300000.0,2014
1504,Divergent,LG/S,150900000.0,137900000.0,2014
1505,Mr. Peabody & Sherman,Fox,111500000.0,164200000.0,2014
1506,Neighbors,Uni.,150200000.0,120500000.0,2014
1507,Exodus: Gods and Kings,Fox,65000000.0,203200000.0,2014
1508,Annabelle,WB (NL),84300000.0,172800000.0,2014
1509,Hercules (2014),Par.,72700000.0,172100000.0,2014
1510,RoboCop (2014),Sony,58600000.0,184100000.0,2014
1511,The Imitation Game,Wein.,91100000.0,142400000.0,2014
1512,Non-Stop,Uni.,92200000.0,130600000.0,2014
1513,Dracula Untold,Uni.,56300000.0,160800000.0,2014
1514,The Expendables 3,LGF,39300000.0,175300000.0,2014
1515,Into the Woods,BV,128000000.0,85100000.0,2014
1516,Fury (2014),Sony,85800000.0,126000000.0,2014
1517,Journey to the West,Magn.,18100.0,205600000.0,2014
1518,Need for Speed,BV,43600000.0,159700000.0,2014
1519,The Other Woman (2014),Fox,83900000.0,112800000.0,2014
1520,The Equalizer,Sony,101500000.0,90800000.0,2014
1521,Breakup Buddies,CL,778000.0,188200000.0,2014
1522,The Grand Budapest Hotel,FoxS,59300000.0,115500000.0,2014
1523,Dumb and Dumber To,Uni.,86200000.0,83600000.0,2014
1524,Unbroken,Uni.,115600000.0,47800000.0,2014
1525,Into The Storm,WB (NL),47600000.0,114100000.0,2014
1526,The Monuments Men,Sony,78000000.0,77000000.0,2014
1527,Ride Along,Uni.,134900000.0,19500000.0,2014
1528,Planes: Fire & Rescue,BV,59200000.0,92200000.0,2014
1529,Let's Be Cops,Fox,82400000.0,55800000.0,2014
1530,Jack Ryan: Shadow Recruit,Par.,50600000.0,84900000.0,2014
1531,Annie (2014),Sony,85900000.0,47900000.0,2014
1532,Blended,WB,46300000.0,81700000.0,2014
1533,Sex Tape,Sony,38500000.0,87500000.0,2014
1534,The Theory of Everything,Focus,35900000.0,87800000.0,2014
1535,The Nut Job,ORF,64300000.0,56600000.0,2014
1536,The Wind Rises,BV,5200000.0,112700000.0,2014
1537,Pompeii,TriS,23200000.0,94600000.0,2014
1538,The Admiral: Roaring Currents,CJ,2600000.0,109600000.0,2014
1539,The Purge: Anarchy,Uni.,72000000.0,40000000.0,2014
1540,The Boxtrolls,Focus,50800000.0,58400000.0,2014
1541,Horrible Bosses 2,WB,54400000.0,53200000.0,2014
1542,Ouija,Uni.,50900000.0,52700000.0,2014
1543,Birdman,FoxS,42300000.0,60900000.0,2014
1544,Transcendence,WB,23000000.0,80000000.0,2014
1545,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",BV,67000000.0,34400000.0,2014
1546,Heaven is for Real,TriS,91400000.0,9900000.0,2014
1547,Tammy,WB (NL),84500000.0,16000000.0,2014
1548,P.K.,UTV,10600000.0,89800000.0,2014
1549,The Book of Life (2014),Fox,50200000.0,49600000.0,2014
1550,Paranormal Activity: The Marked Ones,Par.,32500000.0,58400000.0,2014
1551,The Hundred-Foot Journey,BV,54200000.0,34600000.0,2014
1552,John Wick,LG/S,43000000.0,45700000.0,2014
1553,Deliver Us From Evil,SGem,30600000.0,57400000.0,2014
1554,A Million Ways to Die in the West,Uni.,43100000.0,44100000.0,2014
1555,Snowpiercer,RTWC,4600000.0,82200000.0,2014
1556,Step Up All In,LG/S,14900000.0,71300000.0,2014
1557,The Judge,WB,47100000.0,37300000.0,2014
1558,Muppets Most Wanted,BV,51200000.0,29200000.0,2014
1559,If I Stay,WB (NL),50500000.0,28400000.0,2014
1560,"I, Frankenstein",LGF,19100000.0,52100000.0,2014
1561,The Attorney,WGUSA,557000.0,70000000.0,2014
1562,Think Like a Man Too,SGem,65200000.0,5000000.0,2014
1563,Brick Mansions,Rela.,20400000.0,48500000.0,2014
1564,Stalingrad (2014),Sony,1000000.0,67099999.0,2014
1565,Son of God,Fox,59700000.0,8100000.0,2014
1566,Jersey Boys,WB,47000000.0,20600000.0,2014
1567,The Giver,Wein.,45100000.0,21900000.0,2014
1568,Selma,Par.,52100000.0,14700000.0,2014
1569,God's Not Dead,Free,60800000.0,3900000.0,2014
1570,Thunder and the House of Magic!,Shout!,4100.0,64200000.0,2014
1571,Begin Again,Wein.,16200000.0,47300000.0,2014
1572,The Legend of Hercules,LG/S,18800000.0,42400000.0,2014
1573,Evangelion: 3.0 You Can (Not) Redo,Elev.,175000.0,60300000.0,2014
1574,Dolphin Tale 2,WB,42000000.0,15800000.0,2014
1575,St. Vincent,Wein.,44100000.0,10700000.0,2014
1576,No Good Deed (2014),SGem,52500000.0,1800000.0,2014
1577,A Walk Among the Tombstones,Uni.,26300000.0,26900000.0,2014
1578,3 Days to Kill,Rela.,30700000.0,21900000.0,2014
1579,Wild (2014),FoxS,37900000.0,14600000.0,2014
1580,Magic in the Moonlight,SPC,10500000.0,40500000.0,2014
1581,Dragon Ball Z: Battle of Gods,SV,2600000.0,47800000.0,2014
1582,About Last Night (2014),SGem,48600000.0,365000.0,2014
1583,Whiplash,SPC,13100000.0,35900000.0,2014
1584,Chef,ORF,31400000.0,14500000.0,2014
1585,Earth to Echo,Rela.,38900000.0,6400000.0,2014
1586,Boyhood,IFC,25400000.0,19100000.0,2014
1587,Oculus,Rela.,27700000.0,16300000.0,2014
1588,Bang Bang,FIP,2500000.0,39500000.0,2014
1589,As Above/So Below,Uni.,21300000.0,20600000.0,2014
1590,This is Where I Leave You,WB,34300000.0,7000000.0,2014
1591,That Awkward Moment,Focus,26100000.0,14400000.0,2014
1592,Frank Miller's Sin City: A Dame to Kill For,W/Dim.,13800000.0,25600000.0,2014
1593,The Gambler,Par.,33700000.0,5600000.0,2014
1594,Million Dollar Arm,BV,36500000.0,2800000.0,2014
1595,Nightcrawler,ORF,32400000.0,6300000.0,2014
1596,Devil's Due,Fox,15800000.0,21100000.0,2014
1597,A Most Wanted Man,RAtt.,17200000.0,19000000.0,2014
1598,The Best of Me,Rela.,26800000.0,9200000.0,2014
1599,Endless Love (2014),Uni.,23400000.0,11300000.0,2014
1600,Get On Up,Uni.,30700000.0,2700000.0,2014
1601,The November Man,Rela.,25000000.0,7500000.0,2014
1602,The Pirates,WGUSA,416000.0,32100000.0,2014
1603,Winter's Tale,WB,12600000.0,18500000.0,2014
1605,Draft Day,LG/S,28800000.0,620000.0,2014
1606,Big Eyes,Wein.,14500000.0,14800000.0,2014
1607,The Divine Move,CJ,137000.0,27800000.0,2014
1608,Top Five,Par.,25300000.0,800000.0,2014
1609,Iceman (2014),WGUSA,7700.0,26000000.0,2014
1610,And So It Goes,CE,15200000.0,10200000.0,2014
1611,On the Other Side of the Tracks,Wein.,9600.0,25100000.0,2014
1612,The Players,Wein.,10900.0,24600000.0,2014
1613,The Tale of The Princess Kaguya,GK,703000.0,23500000.0,2014
1614,A Haunted House 2,ORF,17300000.0,6600000.0,2014
1615,The Railway Man,Wein.,4400000.0,17900000.0,2014
1616,Mr. Turner,SPC,4000000.0,18200000.0,2014
1617,The Suspect (2014),WGUSA,219000.0,21400000.0,2014
1618,Bears,BV,17800000.0,3500000.0,2014
1619,Yves Saint Laurent,Wein.,724000.0,20300000.0,2014
1620,Labor Day,Par.,13400000.0,6900000.0,2014
1621,"Like Father, Like Son (2014)",IFC,335000.0,19600000.0,2014
1622,Left Behind (2014),Free,14000000.0,5700000.0,2014
1623,Legends of Oz: Dorothy's Return,CE,8500000.0,10200000.0,2014
1624,The Drop,FoxS,10700000.0,7900000.0,2014
1625,The Quiet Ones,LGF,8500000.0,9300000.0,2014
1626,Sabotage (2014),ORF,10500000.0,7000000.0,2014
1628,Road to Ninja - Naruto the Movie,Elev.,43200.0,17300000.0,2014
1629,Calvary,FoxS,3600000.0,13300000.0,2014
1630,The Pyramid,Fox,2800000.0,14100000.0,2014
1631,Tyler Perry's The Single Moms Club,LGF,16000000.0,364000.0,2014
1632,Beyond Outrage,Magn.,3900.0,16200000.0,2014
1633,Before I Go To Sleep,CE,3200000.0,12200000.0,2014
1634,Vampire Academy,Wein.,7800000.0,7600000.0,2014
1635,Inherent Vice,WB,8100000.0,6600000.0,2014
1636,Island of Lemurs: Madagascar (IMAX),WB,11300000.0,2800000.0,2014
1637,The Two Faces of January,Magn.,507000.0,13000000.0,2014
1638,Fading Gigolo,MNE,3800000.0,9600000.0,2014
1640,A Most Violent Year,A24,5700000.0,6300000.0,2014
1641,The Interview (2014),Sony,6100000.0,5200000.0,2014
1642,One Chance,Wein.,101000.0,10800000.0,2014
1643,Bicycling with Moliere,Strand,59900.0,10700000.0,2014
1645,Wetlands,Strand,59500.0,10500000.0,2014
1647,The Babadook,IFC,964000.0,9300000.0,2014
1648,Nymphomaniac: Volume I,Magn.,786000.0,9500000.0,2014
1649,Gladiators of Rome,VPD,8200.0,10100000.0,2014
1650,Mood Indigo,Drft.,303000.0,9500000.0,2014
1651,Alan Partridge: The Movie,Magn.,153000.0,9600000.0,2014
1652,Venus in Fur,IFC,374000.0,8000000.0,2014
1653,Filth,Magn.,34400.0,8300000.0,2014
1654,What If (2014),CBS,3500000.0,4400000.0,2014
1655,Finding Fanny,FIP,616000.0,7100000.0,2014
1656,Pride (2014),CBS,1400000.0,6100000.0,2014
1657,Chinese Puzzle,Cohen,339000.0,7100000.0,2014
1658,A Long Way Down,Magn.,13300.0,7200000.0,2014
1660,"Two Days, One Night",IFC,1400000.0,5400000.0,2014
1661,A Letter to Momo,GK,71700.0,6700000.0,2014
1663,Le Chef,Cohen,343000.0,5900000.0,2014
1664,Mas Negro Que La Noche,LGF,870000.0,5200000.0,2014
1665,French Gigolo (Cliente),IFC,3000.0,6000000.0,2014
1666,The Trip to Italy,IFC,2900000.0,3000000.0,2014
1667,The Immigrant,Wein.,2000000.0,3800000.0,2014
1668,Wish I Was Here,Focus,3600000.0,1900000.0,2014
1669,Under the Skin (2014),A24,2600000.0,2800000.0,2014
1671,The French Minister,IFC,12000.0,5100000.0,2014
1672,Ernest & Celestine,GK,262000.0,4800000.0,2014
1673,Tracks (2014),Wein.,510000.0,4400000.0,2014
1674,The Love Punch,KE,267000.0,4500000.0,2014
1678,Diplomacy,Zeit.,231000.0,3700000.0,2014
1679,Horns,RTWC,174000.0,3700000.0,2014
1682,Ragnarok,Magn.,1400.0,3700000.0,2014
1683,Veronica Mars,WB,3300000.0,195000.0,2014
1687,Enemy,A24,1000000.0,2400000.0,2014
1688,Words and Pictures,RAtt.,2200000.0,1200000.0,2014
1689,The Protector 2,Magn.,2500.0,3300000.0,2014
1690,The Rover,A24,1100000.0,2100000.0,2014
1691,The Mystery of Happiness,Strand,8500.0,3200000.0,2014
1694,The German Doctor,Gold.,418000.0,2600000.0,2014
1695,Citizenfour,RTWC,2800000.0,202000.0,2014
1696,A Coffee in Berlin,MBox,150000.0,2600000.0,2014
1699,Living is Easy with Eyes Closed,Outs,11600.0,2600000.0,2014
1700,A Five Star Life,MBox,307000.0,2200000.0,2014
1704,Blood Ties (2014),RAtt.,42500.0,2400000.0,2014
1705,The Guest (2014),PH,333000.0,2000000.0,2014
1706,Life of Riley,KL,11600.0,2300000.0,2014
1709,Marius,KL,9800.0,2200000.0,2014
1710,"Men, Women & Children",Par.,706000.0,1500000.0,2014
1712,Nymphomaniac: Volume II,Magn.,327000.0,1900000.0,2014
1715,"20,000 Days on Earth",Drft.,280000.0,1800000.0,2014
1721,Make Your Move,HTR,125000.0,1300000.0,2014
1722,Bright Days Ahead,Trib.,21800.0,1400000.0,2014
1725,Postman Pat: The Movie,Shout!,1500.0,1300000.0,2014
1726,Just a Sigh,Distrib.,75500.0,1200000.0,2014
1728,For a Woman,FM,32299.0,1200000.0,2014
1730,Why Don't You Play in Hell,Drft.,28500.0,1200000.0,2014
1732,The Way He Looks,Strand,101000.0,1100000.0,2014
1733,Ilo Ilo,FM,56800.0,1100000.0,2014
1738,Jackpot,DR,800.0,1100000.0,2014
1742,Borgman,Drft.,57500.0,952000.0,2014
1743,The Disappearance of Eleanor Rigby,Wein.,588000.0,397000.0,2014
1747,Age of Uprising: The Legend of Michael Kohlhaas (U.S. only),MBox,3300.0,797000.0,2014
1748,The Zero Theorem,Ampl.,258000.0,513000.0,2014
1761,Archipelago,KL,7800.0,492000.0,2014
1763,The Congress,Drft.,138000.0,318000.0,2014
1765,Bjork - Biophilia Live,CP,128000.0,306000.0,2014
1776,The Last Sentence,MBox,62500.0,265000.0,2014
1780,7 Boxes,BGP,38100.0,267000.0,2014
1792,Gabrielle (2014),EOne,5500.0,222000.0,2014
1800,Unrelated,KL,4500.0,154000.0,2014
1802,May in the Summer,Cohen,22000.0,112000.0,2014
1805,Life's a Breeze,Magn.,3500.0,99700.0,2014
1835,Policeman,Crnth,11300.0,27000.0,2014
1875,Avengers: Age of Ultron,BV,459000000.0,946400000.0,2015
1876,Minions,Uni.,336000000.0,823400000.0,2015
1877,Spectre,Sony,200100000.0,680600000.0,2015
1878,Inside Out,BV,356500000.0,501100000.0,2015
1879,Mission: Impossible - Rogue Nation,Par.,195000000.0,487700000.0,2015
1880,The Hunger Games: Mockingjay - Part 2,LGF,281700000.0,371700000.0,2015
1881,The Martian,Fox,228400000.0,401700000.0,2015
1882,Fifty Shades of Grey,Uni.,166200000.0,404800000.0,2015
1883,Cinderella (2015),BV,201200000.0,342400000.0,2015
1884,The Revenant,Fox,183600000.0,349300000.0,2015
1885,Ant-Man,BV,180200000.0,339100000.0,2015
1886,Hotel Transylvania 2,Sony,169700000.0,305100000.0,2015
1887,San Andreas,WB (NL),155200000.0,318800000.0,2015
1888,Terminator: Genisys,Par.,89800000.0,350800000.0,2015
1889,Kingsman: The Secret Service,Fox,128300000.0,286100000.0,2015
1890,Home (2015),Fox,177400000.0,208600000.0,2015
1891,Mad Max: Fury Road,WB,153600000.0,224800000.0,2015
1892,The Good Dinosaur,BV,123100000.0,209100000.0,2015
1893,Taken 3,Fox,89300000.0,237200000.0,2015
1894,The SpongeBob Movie: Sponge Out of Water,Par.,163000000.0,162200000.0,2015
1895,Maze Runner: The Scorch Trials,Fox,81700000.0,230600000.0,2015
1896,The Divergent Series: Insurgent,LG/S,130199999.0,167100000.0,2015
1897,Pitch Perfect 2,Uni.,184300000.0,103200000.0,2015
1898,Paddington,W/Dim.,76300000.0,191800000.0,2015
1899,Mojin: The Lost Legend,WGUSA,1200000.0,258100000.0,2015
1900,Lost in Hong Kong,WGUSA,1300000.0,255000000.0,2015
1901,The Peanuts Movie,Fox,130199999.0,116100000.0,2015
1902,Pixels,Sony,78700000.0,166100000.0,2015
1903,Daddy's Home,Par.,150400000.0,92400000.0,2015
1904,Spy,Fox,110800000.0,124800000.0,2015
1905,Alvin and the Chipmunks: The Road Chip,Fox,85900000.0,148900000.0,2015
1906,Goodbye Mr. Loser,CL,1300000.0,226800000.0,2015
1907,Ted 2,Uni.,81500000.0,135200000.0,2015
1908,Tomorrowland,BV,93400000.0,115700000.0,2015
1909,Everest (2015),Uni.,43500000.0,159900000.0,2015
1910,Straight Outta Compton,Uni.,161200000.0,40400000.0,2015
1911,The Intern,WB,75800000.0,118800000.0,2015
1912,Jupiter Ascending,WB,47400000.0,136600000.0,2015
1913,Creed,WB (NL),109800000.0,63800000.0,2015
1914,Fantastic Four,Fox,56100000.0,111900000.0,2015
1915,Bridge of Spies,BV,72300000.0,93200000.0,2015
1916,Focus (2015),WB,53900000.0,105200000.0,2015
1917,The Hateful Eight,Wein.,54100000.0,101600000.0,2015
1918,Goosebumps,Sony,80100000.0,70100000.0,2015
1919,The Last Witch Hunter,LG/S,27400000.0,119600000.0,2015
1920,The Taking of Tiger Mountain,WGUSA,229000.0,141400000.0,2015
1921,Trainwreck,Uni.,110200000.0,30600000.0,2015
1922,Mr. Six,CL,1400000.0,137800000.0,2015
1923,Point Break (2015),WB,28800000.0,104900000.0,2015
1924,The Big Short,Par.,70300000.0,63200000.0,2015
1925,Pan,WB,35100000.0,93300000.0,2015
1926,Wolf Totem,Sony,211000.0,125600000.0,2015
1927,Magic Mike XXL,WB,66000000.0,56500000.0,2015
1928,Dragon Blade,LGP,74100.0,121500000.0,2015
1929,Seventh Son,Uni.,17200000.0,97000000.0,2015
1930,Insidious Chapter 3,Focus,52200000.0,60800000.0,2015
1931,Get Hard,WB,90400000.0,21400000.0,2015
1932,The Man From U.N.C.L.E.,WB,45400000.0,64400000.0,2015
1933,Paul Blart: Mall Cop 2,Sony,71000000.0,36600000.0,2015
1934,Shaun the Sheep Movie,LGF,19400000.0,86800000.0,2015
1935,Sisters,Uni.,87000000.0,18000000.0,2015
1936,Vacation,WB (NL),58900000.0,46000000.0,2015
1937,Chappie,Sony,31600000.0,70500000.0,2015
1938,Joy,Fox,56500000.0,44700000.0,2015
1939,Black Mass,WB,62600000.0,37200000.0,2015
1940,Devil and Angel (E Gun Tian Shi),CL,131000.0,98500000.0,2015
1941,The Visit,Uni.,65200000.0,33200000.0,2015
1942,Spotlight,ORF,45100000.0,53200000.0,2015
1943,Poltergeist (2015),Fox,47400000.0,48000000.0,2015
1944,In the Heart of the Sea,WB,25000000.0,68900000.0,2015
1945,Southpaw,Wein.,52400000.0,39500000.0,2015
1946,The Second Best Exotic Marigold Hotel,FoxS,33100000.0,52900000.0,2015
1947,Paper Towns,Fox,32000000.0,53500000.0,2015
1948,Sicario,LGF,46900000.0,38000000.0,2015
1949,Hitman: Agent 47,Fox,22500000.0,59900000.0,2015
1950,The Wedding Ringer,SGem,64500000.0,15300000.0,2015
1951,Paranormal Activity: The Ghost Dimension,Par.,18300000.0,60600000.0,2015
1952,Crimson Peak,Uni.,31100000.0,43600000.0,2015
1953,The Transporter Refueled,EC,16000000.0,56600000.0,2015
1954,Run All Night,WB,26500000.0,45200000.0,2015
1956,The Age of Adaline,LGF,42600000.0,23000000.0,2015
1957,The Danish Girl,Focus,11100000.0,53100000.0,2015
1958,Unfriended,Uni.,32500000.0,31600000.0,2015
1959,The Longest Ride,Fox,37400000.0,25500000.0,2015
1960,Brooklyn,FoxS,38300000.0,23800000.0,2015
1961,Dragon Ball Z: Resurrection 'F',FUN,8000000.0,53800000.0,2015
1962,Woman in Gold,Wein.,33299999.0,28300000.0,2015
1963,Krampus,Uni.,42700000.0,18800000.0,2015
1964,The Walk,TriS,10100000.0,51000000.0,2015
1965,The Perfect Guy,SGem,57000000.0,3200000.0,2015
1966,The Gift (2015),STX,43800000.0,15200000.0,2015
1967,No Escape,Wein.,27300000.0,27100000.0,2015
1968,Sinister 2,Focus,27700000.0,25100000.0,2015
1969,Prem Ratan Dhan Payo,FIP,4400000.0,48200000.0,2015
1970,The Boy Next Door,Uni.,35400000.0,17000000.0,2015
1971,The Night Before,Sony,43000000.0,9300000.0,2015
1972,Hot Pursuit,WB (NL),34600000.0,17100000.0,2015
1973,The 100-Year Old Man Who Climbed Out the Window and Disappeared,MBox,944000.0,50200000.0,2015
1974,The Himalayas,CJ,697000.0,49800000.0,2015
1976,Entourage,WB,32400000.0,16900000.0,2015
1977,The Woman in Black 2: Angel of Death,Rela.,26500000.0,22400000.0,2015
1978,Concussion (2015),Sony,34500000.0,14100000.0,2015
1979,Mortdecai,LGF,7700000.0,39600000.0,2015
1980,Coming Home (2015),SPC,378000.0,46400000.0,2015
1981,"McFarland, USA",BV,44500000.0,1200000.0,2015
1982,Max (2015),WB,42700000.0,1300000.0,2015
1983,Still Alice,SPC,18800000.0,25100000.0,2015
1984,The DUFF,LGF,34000000.0,9500000.0,2015
1985,Legend,Uni.,1900000.0,41100000.0,2015
1986,The Gallows,WB (NL),22800000.0,20200000.0,2015
1987,Love the Coopers,LGF,26300000.0,16100000.0,2015
1988,The Lady in the Van,SPC,10000000.0,31400000.0,2015
1989,Ricki and the Flash,TriS,26800000.0,14500000.0,2015
1990,Carol,Wein.,12700000.0,27600000.0,2015
1991,The Lazarus Effect,Rela.,25800000.0,12600000.0,2015
1992,The Water Diviner,WB,4200000.0,34000000.0,2015
1993,A Walk in the Woods,BG,29500000.0,8000000.0,2015
1994,Ex Machina,A24,25400000.0,11400000.0,2015
1995,Burnt,Wein.,13700000.0,23000000.0,2015
1996,Room,A24,14700000.0,20700000.0,2015
1997,The Secret in their Eyes (2015),STX,20200000.0,14700000.0,2015
1998,Steve Jobs,Uni.,17800000.0,16700000.0,2015
1999,Victor Frankenstein,Fox,5800000.0,28500000.0,2015
2000,Project Almanac,Par.,22300000.0,10900000.0,2015
2001,Self/Less,Focus,12300000.0,18200000.0,2015
2002,Far from the Madding Crowd,FoxS,12200000.0,18000000.0,2015
2003,Mr. Holmes,RAtt.,17700000.0,11600000.0,2015
2004,Love & Mercy,RAtt.,12600000.0,16100000.0,2015
2005,Irrational Man,SPC,4000000.0,23400000.0,2015
2006,American Ultra,LGF,14400000.0,12700000.0,2015
2007,Wild Tales,SPC,3100000.0,23900000.0,2015
2008,Aloha,Sony,21100000.0,5200000.0,2015
2009,"Love, Rosie",TFA,20400.0,25600000.0,2015
2010,The 33,WB,12200000.0,12700000.0,2015
2011,Capture the Flag,Par.,6700.0,24600000.0,2015
2012,The Gunman,ORF,10700000.0,13500000.0,2015
2013,Go Away Mr. Tumor,CL,287000.0,21500000.0,2015
2015,Blackhat,Uni.,8000000.0,11600000.0,2015
2016,Dope,ORF,17500000.0,480000.0,2015
2017,Brothers: Blood Against Blood,FIP,614000.0,17200000.0,2015
2018,While We're Young,A24,7600000.0,9700000.0,2015
2019,Monkey Kingdom,BV,16399999.0,711000.0,2015
2020,Macbeth (2015),Wein.,1100000.0,15200000.0,2015
2021,Scouts Guide to the Zombie Apocalypse,Par.,3700000.0,12400000.0,2015
2022,Suffragette,Focus,4700000.0,11300000.0,2015
2024,Unfinished Business,Fox,10200000.0,4200000.0,2015
2025,Do You Believe?,PFR,13000000.0,1400000.0,2015
2027,Strange Magic,BV,12400000.0,1200000.0,2015
2028,Hot Tub Time Machine 2,Par.,12300000.0,767000.0,2015
2029,Child 44,LG/S,1200000.0,11700000.0,2015
2030,We Are Your Friends,WB,3600000.0,7500000.0,2015
2031,Danny Collins,BST,5600000.0,5200000.0,2015
2032,Kung Fu Killer,WGUSA,130000.0,10000000.0,2015
2033,A Little Chaos,FCW,558000.0,9500000.0,2015
2034,The Loft,ORF,6000000.0,4099999.0,2015
2035,The Young & Prodigious T.S. Spivet,Wein.,174000.0,9300000.0,2015
2036,Shanghai,Wein.,46400.0,9200000.0,2015
2038,Me and Earl and the Dying Girl,FoxS,6800000.0,2300000.0,2015
2040,Shaandaar,FIP,522000.0,7800000.0,2015
2041,Trumbo (2015),BST,7900000.0,378000.0,2015
2045,Grandma (2015),SPC,7000000.0,107000.0,2015
2050,What We Do in the Shadows,U/P,3500000.0,2800000.0,2015
2051,Anomalisa,Par.,3800000.0,1900000.0,2015
2052,Pawn Sacrifice,BST,2400000.0,3100000.0,2015
2053,Serena,Magn.,176000.0,4900000.0,2015
2054,Mr. X,FIP,45000.0,5000000.0,2015
2056,Back to the Future Day,UHE,1700000.0,3200000.0,2015
2057,Trash,FCW,17500.0,4800000.0,2015
2059,"Buen Dia, Ramon",FIP,154000.0,4500000.0,2015
2060,Hamari Adhuri Kahani,FIP,235000.0,4200000.0,2015
2062,Escobar: Paradise Lost,RTWC,196000.0,3600000.0,2015
2065,By the Sea,Uni.,538000.0,2800000.0,2015
2066,Sleeping with Other People,IFC,819000.0,2400000.0,2015
2068,Jimmy's Hall,SPC,561000.0,2600000.0,2015
2071,Remember (Canada Release),EOne,547000.0,2500000.0,2015
2075,Captive (2015),Par.,2600000.0,218000.0,2015
2076,He Named Me Malala,FoxS,2700000.0,97100.0,2015
2081,Jem and the Holograms,Uni.,2200000.0,149000.0,2015
2082,Beloved Sisters,MBox,54000.0,2200000.0,2015
2083,The Riot Club,IFC,7700.0,2100000.0,2015
2092,Janis: Little Girl Blue,FR,410000.0,1200000.0,2015
2093,'71,RAtt.,1300000.0,355000.0,2015
2100,Maps to the Stars,FCW,351000.0,988000.0,2015
2108,Cartel Land,Orch.,704000.0,422000.0,2015
2119,The D Train,IFC,673000.0,102000.0,2015
2127,Black Panthers: Vanguard of the Revolution,PBS,517000.0,67200.0,2015
2235,Love Thy Nature,ITL,41100.0,11800.0,2015
2322,Captain America: Civil War,BV,408100000.0,745200000.0,2016
2323,Rogue One: A Star Wars Story,BV,532200000.0,523900000.0,2016
2324,Finding Dory,BV,486300000.0,542300000.0,2016
2325,Zootopia,BV,341300000.0,682500000.0,2016
2326,The Jungle Book (2016),BV,364000000.0,602500000.0,2016
2327,The Secret Life of Pets,Uni.,368400000.0,507100000.0,2016
2328,Batman v Superman: Dawn of Justice,WB,330400000.0,543300000.0,2016
2329,Fantastic Beasts and Where To Find Them,WB,234000000.0,580000000.0,2016
2330,Deadpool,Fox,363100000.0,420000000.0,2016
2331,Suicide Squad,WB,325100000.0,421700000.0,2016
2332,Doctor Strange,BV,232600000.0,445100000.0,2016
2333,Moana,BV,248800000.0,394600000.0,2016
2334,Sing,Uni.,270400000.0,363800000.0,2016
2335,The Mermaid (Mei ren yu),Sony,3200000.0,550600000.0,2016
2336,X-Men: Apocalypse,Fox,155400000.0,388500000.0,2016
2337,Kung Fu Panda 3,Fox,143500000.0,377600000.0,2016
2338,La La Land,LG/S,151100000.0,295000000.0,2016
2339,Warcraft,Uni.,47400000.0,386300000.0,2016
2340,Jason Bourne,Uni.,162400000.0,253100000.0,2016
2341,Ice Age: Collision Course,Fox,64099999.0,344500000.0,2016
2342,Independence Day: Resurgence,Fox,103100000.0,286500000.0,2016
2343,Monster Hunt,FR,32800.0,385300000.0,2016
2344,The Legend of Tarzan,WB,126600000.0,230100000.0,2016
